name,address,country
Russian Direct Investment Fund,8 Presnenskaya Naberezhnaya Moscow,RUS
Sberbank,19 Vavilova St. Moscow,RUS
VTB Bank,11 Vorontsovskaya St. Moscow,RUS
Rostec,24 Usacheva St. Moscow,RUS
Rosneft,26/1 Sofiyskaya Embankment Moscow,RUS
Gazprom,16 Nametkina St. Moscow,RUS
National Iranian Oil Company,No. 18 Roodsar St. Hafez Ave. Tehran,IRN
Huawei Technologies Co. Ltd.,Bantian Longgang District Shenzhen,CHN
ZTE Corporation,55 Hi-tech Road South Shenzhen,CHN
Hangzhou Hikvision Digital Technology Co. Ltd.,No. 555 Qianmo Road Binjiang District Hangzhou,CHN
Venezuelan State-Owned Oil Company (PDVSA),Avenida Libertador La Campiña Caracas,VEN
Syrian Arab Airlines,Damascus International Airport Damascus,SYR
Korea Mining Development Trading Corporation,Central District Pyongyang,PRK
Cubametales,Calle 28 No. 113 e/ 1ra y 3ra Miramar Havana,CUB
Myanmar Economic Corporation,189/191 Maha Bandoola Road Corner of 50th Street Yangon,MMR
Myanmar Economic Holdings Limited,51 Mahabandoola Road Botahtaung Township Yangon,MMR
Belaruskali OAO,Korzh St. 5 Soligorsk,BLR
State Development Bank VEB.RF,9 Prospekt Akademika Sakharova Moscow,RUS
Promsvyazbank,10 Smirnovskaya St. Moscow,RUS
Alfa-Bank,27 Kalanchevskaya St. Moscow,RUS
Belnauchcompositit,5 Korzha Street Soligorsk,BLR
Belorusskaya Kaliynaya Companya,1 Marx Street Soligorsk,BLR
Belneftegaz,35 Myasnikova Street Minsk,BLR
Bank Rossiya,2 Liter A Rastrelli Square St. Petersburg,RUS
Novikombank,20A Polyanka Bolshaya St. Moscow,RUS
Sovcombank,46 Tekstilshchikov Ave. Kostroma,RUS
Bank Otkritie,2 Letnikovskaya St. Moscow,RUS
Transneft,57 Bolshaya Polyanka St. Moscow,RUS
Russian Railways,2 Novaya Basmannaya St. Moscow,RUS
United Aircraft Corporation,26/1 Khodynsky Blvd. Moscow,RUS
United Shipbuilding Corporation,11 Sadovaya-Kudrinskaya St. Moscow,RUS
Kamaz,2 Avtozavodsky Ave. Naberezhnye Chelny Republic of Tatarstan,RUS
Sevmash,1 Mashinostroiteley St. Severodvinsk Arkhangelsk Region,RUS
Almaz-Antey,41 Vereyskaya St. Moscow,RUS
Uralvagonzavod,28 Vostochnoe Highway Nizhny Tagil Sverdlovsk Region,RUS
Kalashnikov Concern,3 Deryabina Ave. Izhevsk Udmurt Republic,RUS
NPO High Precision Systems,7 Kievskaya St. Moscow,RUS
Tactical Missiles Corporation JSC,7 Ilyicha St. Korolev Moscow Region,RUS
NPK Tekhmash OAO,58 Krasnoproletarskaya St. Moscow,RUS
Molot-Oruzhie,135 Lenina St. Vyatskie Polyany Kirov Region,RUS
Rustec,2 Bocharova Revolyutsii St. Izhevsk Udmurt Republic,RUS
Rosoboronexport,27 Stromynka St. Moscow,RUS
Power Machines,3A Vatutina St. St. Petersburg,RUS
Sukhoi Company,23B Polikarpova St. Moscow,RUS
Irkut Corporation,68 Leningradsky Ave. Moscow,RUS
MiG Corporation,6 Leningradskoe Highway Moscow,RUS
Tupolev PJSC,17 Tupolev Embankment Moscow,RUS
Admiralty Shipyards,203 Fontanka River Embankment St. Petersburg,RUS
Zvezdochka Shipyard,12 Mashinostroiteley St. Severodvinsk Arkhangelsk Region,RUS
Baltic Shipyard,16 Kosaya Line Vasilievsky Island St. Petersburg,RUS
